id,name,Eng,type,Height,Weight,Generation,Status,HP,Attack,Defense,Special Attack,Special Defense,Speed,Capture Rate,Baby,Legendary,Evolution,URL
43,ナゾノクサ,ナゾノクサ: Oddish,1,0.5,5.4,1,320,45,50,55,75,65,30,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,クサイハナ,クサイハナ: Gloom,1,0.8,8.6,1,395,60,65,70,85,75,40,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,ラフレシア,ラフレシア: Vileplume,1,1.2,18.6,1,490,75,80,85,110,90,50,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,パラス,パラス: Paras,18,0.3,5.4,1,285,35,70,55,45,55,25,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,パラセクト,パラセクト: Parasect,18,1,29.5,1,405,60,95,80,60,80,30,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,コンパン,コンパン: Venonat,18,1,30,1,305,60,55,50,40,55,45,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,モルフォン,モルフォン: Venomoth,18,1.5,12.5,1,450,70,65,60,90,75,90,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,ディグダ,ディグダ: Diglett,10,0.2,0.8,1,265,10,55,25,35,45,95,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,ダグトリオ,ダグトリオ: Dugtrio,10,0.7,33.3,1,425,35,100,50,50,70,120,50,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,ニャース,ニャース: Meowth,13,0.4,4.2,1,290,40,45,35,40,40,90,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,ペルシアン,ペルシアン: Persian,13,1,32,1,440,65,70,60,65,65,115,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,コダック,コダック: Psyduck,17,0.8,19.6,1,320,50,52,48,65,50,55,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,ゴルダック,ゴルダック: Golduck,17,1.7,76.6,1,500,80,82,78,95,80,85,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,マンキー,マンキー: Mankey,7,0.5,28,1,305,40,80,35,35,45,70,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,オコリザル,オコリザル: Primeape,7,1,32,1,455,65,105,60,60,70,95,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,ガーディ,ガーディ: Growlithe,3,0.7,19,1,350,55,70,45,70,50,60,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,ウインディ,ウインディ: Arcanine,3,1.9,155,1,555,90,110,80,100,80,95,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,ニョロモ,ニョロモ: Poliwag,17,0.6,12.4,1,300,40,50,40,40,40,90,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,ニョロゾ,ニョロゾ: Poliwhirl,17,1,20,1,385,65,65,65,50,50,90,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,ニョロボン,ニョロボン: Poliwrath,17,1.3,54,1,510,90,95,95,70,90,70,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,ケーシィ,ケーシィ: Abra,6,0.9,19.5,1,310,25,20,15,105,55,90,200,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,ユンゲラー,ユンゲラー: Kadabra,6,1.3,56.5,1,400,40,35,30,120,70,105,100,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,フーディン,フーディン: Alakazam,6,1.5,48,1,500,55,50,45,135,95,120,50,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,ワンリキー,ワンリキー: Machop,7,0.8,19.5,1,305,70,80,50,35,35,35,180,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,ゴーリキー,ゴーリキー: Machoke,7,1.5,70.5,1,405,80,100,70,50,60,45,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,カイリキー,カイリキー: Machamp,7,1.6,130,1,505,90,130,80,65,85,55,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,マダツボミ,マダツボミ: Bellsprout,1,0.7,4,1,300,50,75,35,70,30,40,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,ウツドン,ウツドン: Weepinbell,1,1,6.4,1,390,65,90,50,85,45,55,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,ウツボット,ウツボット: Victreebel,1,1.7,15.5,1,490,80,105,65,100,70,70,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,メノクラゲ,メノクラゲ: Tentacool,17,0.9,45.5,1,335,40,40,35,50,100,70,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,ドククラゲ,ドククラゲ: Tentacruel,17,1.6,55,1,515,80,70,65,80,120,100,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,イシツブテ,イシツブテ: Geodude,5,0.4,20,1,300,40,80,100,30,30,20,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,ゴローン,ゴローン: Graveler,5,1,105,1,390,55,95,115,45,45,35,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,ゴローニャ,ゴローニャ: Golem,5,1.4,300,1,495,80,120,130,55,65,45,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ポニータ,ポニータ: Ponyta,3,1,30,1,410,50,85,55,65,65,90,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,ギャロップ,ギャロップ: Rapidash,3,1.7,95,1,500,65,100,70,80,80,105,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,ヤドン,ヤドン: Slowpoke,17,1.2,36,1,315,90,65,65,40,40,15,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,ヤドラン,ヤドラン: Slowbro,17,1.6,78.5,1,490,95,75,110,100,80,30,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,コイル,コイル: Magnemite,2,0.3,6,1,325,25,35,70,95,55,45,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,レアコイル,レアコイル: Magneton,2,1,60,1,465,50,60,95,120,70,70,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,カモネギ,カモネギ: Farfetch'd,13,0.8,15,1,377,52,90,55,58,62,60,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,ドードー,ドードー: Doduo,13,1.4,39.2,1,310,35,85,45,35,35,75,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,ドードリオ,ドードリオ: Dodrio,13,1.8,85.2,1,470,60,110,70,60,60,110,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,パウワウ,パウワウ: Seel,17,1.1,90,1,325,65,45,55,45,70,45,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,ジュゴン,ジュゴン: Dewgong,17,1.7,120,1,475,90,70,80,70,95,70,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,ベトベター,ベトベター: Grimer,11,0.9,30,1,325,80,80,50,40,50,25,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,ベトベトン,ベトベトン: Muk,11,1.2,30,1,500,105,105,75,65,100,50,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,シェルダー,シェルダー: Shellder,17,0.3,4,1,305,30,65,100,45,25,40,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,パルシェン,パルシェン: Cloyster,17,1.5,132.5,1,525,50,95,180,85,45,70,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,ゴース,ゴース: Gastly,8,1.3,0.1,1,310,30,35,30,100,35,80,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,ゴースト,ゴースト: Haunter,8,1.6,0.1,1,405,45,50,45,115,55,95,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,ゲンガー,ゲンガー: Gengar,8,1.5,40.5,1,500,60,65,60,130,75,110,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,イワーク,イワーク: Onix,5,8.8,210,1,385,35,45,160,30,45,70,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,スリープ,スリープ: Drowzee,6,1,32.4,1,328,60,48,45,43,90,42,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,スリーパー,スリーパー: Hypno,6,1.6,75.6,1,483,85,73,70,73,115,67,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,クラブ,クラブ: Krabby,17,0.4,6.5,1,325,30,105,90,25,25,50,225,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,キングラー,キングラー: Kingler,17,1.3,60,1,475,55,130,115,50,50,75,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,ビリリダマ,ビリリダマ: Voltorb,2,0.5,10.4,1,330,40,30,50,55,55,100,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,マルマイン,マルマイン: Electrode,2,1.2,66.6,1,490,60,50,70,80,80,150,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,タマタマ,タマタマ: Exeggcute,1,0.4,2.5,1,325,60,40,80,60,45,40,90,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,ナッシー,ナッシー: Exeggutor,1,2,120,1,530,95,95,85,125,75,55,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,カラカラ,カラカラ: Cubone,10,0.4,6.5,1,320,50,50,95,40,50,35,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,ガラガラ,ガラガラ: Marowak,10,1,45,1,425,60,80,110,50,80,45,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,サワムラー,サワムラー: Hitmonlee,7,1.5,49.8,1,455,50,120,53,35,110,87,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,エビワラー,エビワラー: Hitmonchan,7,1.4,50.2,1,455,50,105,79,35,110,76,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,ベロリンガ,ベロリンガ: Lickitung,13,1.2,65.5,1,385,90,55,75,60,75,30,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,ドガース,ドガース: Koffing,11,0.6,1,1,340,40,65,95,60,45,35,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,マタドガス,マタドガス: Weezing,11,1.2,9.5,1,490,65,90,120,85,70,60,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,サイホーン,サイホーン: Rhyhorn,10,1,115,1,345,80,85,95,30,30,25,120,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,サイドン,サイドン: Rhydon,10,1.9,120,1,485,105,130,120,45,45,40,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,ラッキー,ラッキー: Chansey,13,1.1,34.6,1,450,250,5,5,35,105,50,30,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,モンジャラ,モンジャラ: Tangela,1,1,35,1,435,65,55,115,100,40,60,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,ガルーラ,ガルーラ: Kangaskhan,13,2.2,80,1,490,105,95,80,40,80,90,45,FALSE,FALSE,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
116,タッツー,タッツー: Horsea,17,0.4,8,1,295,30,40,70,70,25,60,225,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,シードラ,シードラ: Seadra,17,1.2,25,1,440,55,65,95,95,45,85,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,トサキント,トサキント: Goldeen,17,0.6,15,1,320,45,67,60,35,50,63,225,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,アズマオウ,アズマオウ: Seaking,17,1.3,39,1,450,80,92,65,65,80,68,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
120,ヒトデマン,ヒトデマン: Starmie,17,0.8,34.5,1,340,30,45,55,70,55,85,225,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png
121,スターミー,スターミー: Starmie,17,1.1,80,1,520,60,75,85,100,85,115,60,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png
122,バリヤード,バリヤード: Mr. Mime,6,1.3,54.5,1,460,40,45,65,100,120,90,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png
123,ストライク,ストライク: Scyther,18,1.5,56,1,500,70,110,80,55,80,105,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png
124,ルージュラ,ルージュラ: Jynx,9,1.4,40.6,1,455,65,50,35,115,95,95,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
125,エレブー,エレブー: Electabuzz,2,1.1,30,1,490,65,83,57,95,85,105,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png
126,ブーバー,ブーバー: Magmar,3,1.3,44.5,1,495,65,95,57,100,85,93,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
127,カイロス,カイロス: Pinsir,18,1.5,55,1,500,65,125,100,55,70,85,45,FALSE,FALSE,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png
128,ケンタロス,ケンタロス: Tauros,13,1.4,88.4,1,490,75,100,95,40,70,110,45,FALSE,FALSE,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png
129,コイキング,コイキング: Magikarp,17,0.9,10,1,200,20,10,55,15,20,80,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png
